Merchant/Company,Start date,End date,Aggregation,Country codes
TurbiBRCOM,01/12/2018,31/12/2018,,
Company Account,Merchant Account,Country Code,Store,Terminal ID,Batch Number,Batch Closed Date,Payment Method,Creation Date,TimeZone,Journal Type,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Bank/Card Commission (NC),DCC Markup (NC),Num Txs
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-11-28,BRST,SettledInstallment,BRL,,137.16,0.027486147564887722,BRL,,0.00,3.77,,2
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-11-29,BRST,RefundedInstallment,BRL,1324.32,,1.0,BRL,1324.32,,,,10
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-11-29,BRST,SettledInstallment,BRL,,467.89,0.027506465194810745,BRL,,0.00,12.87,,4
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-11-30,BRST,SettledInstallment,BRL,,30.00,0.02733333333333333,BRL,,0.00,0.82,,1
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-12-19,BRST,SettledInstallment,BRL,,57.98,1.0,BRL,,56.39,1.59,,1
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-12-20,BRST,SettledInstallment,BRL,,130.35,1.0,BRL,,126.77,3.58,,1
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,amex,2018-12-22,BRST,SettledInstallment,BRL,,115.07,1.0,BRL,,111.91,3.16,,1
TurbiBR,TurbiBRCOM,BR,,,59,2018-12-28 05:52:44.881,,2018-12-28,BRST,Balancetransfer,,,,1.0,BRL,,1029.25,,,1
TurbiBR,TurbiBRCOM,BR,,,58,2018-12-28 05:52:44.835,elo,2018-11-28,BRST,SettledInstallment,BRL,,39.29,0.027487910409773483,BRL,,0.00,1.08,,1
TurbiBR,TurbiBRCOM,BR,,,58,2018-12-28 05:52:44.835,elo,2018-11-29,BRST,SettledInstallment,BRL,,124.51,0.027467673279254676,BRL,,0.00,3.42,,1
TurbiBR,TurbiBRCOM,BR,,,58,2018-12-28 05:52:44.835,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,83.45,,,,1
TurbiBR,TurbiBRCOM,BR,,,58,2018-12-28 05:52:44.835,,2018-12-28,BRST,Balancetransfer,,,,1.0,BRL,,83.45,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-26,BRST,SettledInstallment,BRL,,1345.17,0.7641487693005345,BRL,,990.91,37.00,,6
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-27,BRST,RefundedInstallment,BRL,188.02,,1.0,BRL,188.02,,,,2
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-27,BRST,SettledInstallment,BRL,,2262.58,0.03283419812780101,BRL,,12.08,62.21,,14
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-28,BRST,RefundedInstallment,BRL,680.65,,1.0,BRL,680.65,,,,3
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-28,BRST,SettledInstallment,BRL,,453.40,0.02752536391707102,BRL,,0.00,12.48,,6
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-29,BRST,RefundedInstallment,BRL,103.53,,1.0,BRL,103.53,,,,2
