"Nº Lote";"Data da Transação";"Data Liquidação";"Prazo Antecipação";"Valor";"Valor Descontado";"Valor Antecipado";"Bandeira";"Segmento";"Nº Pedido";"Data Pedido";"Status Pedido"
"30619020602803829101";"06/02/2019 00:00:00";"08/03/2019 00:00:00";"29";"R$ 1.093,79";"R$ 10,20";"R$ 1.083,59";"Mastercard";"TurbiBRCOM                    ";"19020710051";"07/02/2019 08:04:36";"Pedido em processamento."
"10619020303103829101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"29";"R$ 1.726,89";"R$ 16,10";"R$ 1.710,79";"Mastercard";"TurbiBRCOM                    ";"19020710051";"07/02/2019 08:04:36";"Pedido em processamento."
"10519020403002313101";"04/02/2019 00:00:00";"08/03/2019 00:00:00";"29";"R$ 1.163,07";"R$ 10,84";"R$ 1.152,23";"Visa";"TurbiBRCOM                    ";"19020710051";"07/02/2019 08:04:36";"Pedido em processamento."
"30619020502903829101";"05/02/2019 00:00:00";"08/03/2019 00:00:00";"30";"R$ 1.741,52";"R$ 17,05";"R$ 1.724,47";"Mastercard";"TurbiBRCOM                    ";"19020610043";"06/02/2019 08:05:13";"Pedido pago com sucesso!"
"30619020403003829101";"04/02/2019 00:00:00";"08/03/2019 00:00:00";"31";"R$ 2.894,64";"R$ 29,81";"R$ 2.864,83";"Mastercard";"TurbiBRCOM                    ";"19020510039";"05/02/2019 08:04:37";"Pedido pago com sucesso!"
"20619020403003829101";"04/02/2019 00:00:00";"08/03/2019 00:00:00";"31";"R$ 2.587,14";"R$ 26,64";"R$ 2.560,50";"Mastercard";"TurbiBRCOM                    ";"19020510039";"05/02/2019 08:04:37";"Pedido pago com sucesso!"
"10619020403003829101";"04/02/2019 00:00:00";"08/03/2019 00:00:00";"31";"R$ 1.761,33";"R$ 18,14";"R$ 1.743,19";"Mastercard";"TurbiBRCOM                    ";"19020510039";"05/02/2019 08:04:37";"Pedido pago com sucesso!"
"40619020303103829101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 3.218,80";"R$ 34,71";"R$ 3.184,09";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40619020203203829101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 3.174,51";"R$ 34,24";"R$ 3.140,27";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40619020102803829101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 721,19";"R$ 7,43";"R$ 713,76";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40519020303102313101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 636,31";"R$ 6,86";"R$ 629,45";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40519020203202313101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 833,33";"R$ 8,99";"R$ 824,34";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40519020102802313101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 521,83";"R$ 5,37";"R$ 516,46";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"40519013002802313101";"30/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 625,24";"R$ 5,83";"R$ 619,41";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30619020303103829101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 1.328,31";"R$ 14,33";"R$ 1.313,98";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30619020203203829101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 1.412,17";"R$ 15,23";"R$ 1.396,94";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30619020102803829101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 1.431,24";"R$ 14,74";"R$ 1.416,50";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30519020303102313101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 773,43";"R$ 8,34";"R$ 765,09";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30519020203202313101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 579,30";"R$ 6,25";"R$ 573,05";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"30519013002802313101";"30/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 652,45";"R$ 6,08";"R$ 646,37";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20619020303103829101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 1.786,01";"R$ 19,26";"R$ 1.766,75";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20619020203203829101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 2.567,17";"R$ 27,69";"R$ 2.539,48";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20619020102803829101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 691,32";"R$ 7,12";"R$ 684,20";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20619013002803829101";"30/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 722,54";"R$ 6,74";"R$ 715,80";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20519020303102313101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 1.480,14";"R$ 15,96";"R$ 1.464,18";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20519020203202313101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 314,15";"R$ 3,39";"R$ 310,76";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20519020102802313101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 391,39";"R$ 4,03";"R$ 387,36";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"20519013002802313101";"30/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 405,05";"R$ 3,78";"R$ 401,27";"Visa";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"15019013102701251101";"31/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 44,75";"R$ 0,42";"R$ 44,33";"Elo";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"14819020303100740101";"03/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 298,43";"R$ 3,22";"R$ 295,21";"American Express";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"14819020202700740101";"02/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 76,77";"R$ 0,79";"R$ 75,98";"American Express";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"14819013102700740101";"31/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 332,25";"R$ 3,10";"R$ 329,15";"American Express";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"10619020203203829101";"02/02/2019 00:00:00";"08/03/2019 00:00:00";"32";"R$ 1.122,85";"R$ 12,11";"R$ 1.110,74";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"10619020102803829101";"01/02/2019 00:00:00";"07/03/2019 00:00:00";"31";"R$ 1.275,60";"R$ 13,13";"R$ 1.262,47";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
"10619013002803829101";"30/01/2019 00:00:00";"01/03/2019 00:00:00";"25";"R$ 461,26";"R$ 4,30";"R$ 456,96";"Mastercard";"TurbiBRCOM                    ";"19020410054";"04/02/2019 08:06:08";"Pedido pago com sucesso!"
