"Banco";"Agência";"Conta";"Data da Antecipação";"Data Pagamento";"Valor Creditado";"CPF/CNPJ";"Status da Antecipação";"Quantidade Lotes";"Código Antecipação";"Nº Pedido";"Merchant Account";"Modalidade	"
"341";"**86";"******         ";"07/02/2019 08:04:36";"";"R$ 1.152,23";"26982634000180";"PG ";"1";"32878";"19020710051";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"07/02/2019 08:04:36";"";"R$ 2.794,38";"26982634000180";"PG ";"2";"32877";"19020710051";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"06/02/2019 08:05:13";"06/02/2019 15:31:13";"R$ 1.724,47";"26982634000180";"PE ";"1";"32531";"19020610043";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"05/02/2019 08:04:37";"05/02/2019 15:30:54";"R$ 7.168,52";"26982634000180";"PE ";"3";"32174";"19020510039";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"04/02/2019 08:06:09";"04/02/2019 15:30:55";"R$ 44,33";"26982634000180";"PE ";"1";"31806";"19020410054";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"04/02/2019 08:06:09";"04/02/2019 15:30:55";"R$ 700,34";"26982634000180";"PE ";"3";"31805";"19020410054";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"04/02/2019 08:06:09";"04/02/2019 15:30:55";"R$ 9.860,93";"26982634000180";"PE ";"15";"31804";"19020410054";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"04/02/2019 08:06:08";"04/02/2019 15:30:55";"R$ 19.701,94";"26982634000180";"PE ";"13";"31803";"19020410054";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"01/02/2019 08:06:08";"01/02/2019 15:30:56";"R$ 2.761,64";"26982634000180";"PE ";"3";"31420";"19020110041";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"29/01/2019 08:05:57";"29/01/2019 15:30:53";"R$ 1.534,90";"26982634000180";"PE ";"2";"30548";"19012910040";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"29/01/2019 08:05:56";"29/01/2019 15:30:53";"R$ 4.748,85";"26982634000180";"PE ";"10";"30547";"19012910040";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"29/01/2019 08:05:56";"29/01/2019 15:30:53";"R$ 11.724,05";"26982634000180";"PE ";"6";"30546";"19012910040";"TurbiBRCOM                    ";"AUT"
"341";"**86";"******         ";"28/01/2019 08:06:31";"28/01/2019 11:35:52";"R$ 83,42";"26982634000180";"PE ";"1";"30145";"19012810053";"TurbiBRCOM                    ";"AUT"
